name,neighborhood,address,url,is_nyc
b'Tutto Pazzo Restaurant & Tuscan Lounge',b'Huntington',"b'84 New York Ave.,Huntington, NY  11743'",b'tutto-pazzo-restaurant-and-tuscan-lounge?scpref=107',b'False'
b'Twenty3 Supper Club',b'Bay Ridge',"b'8915 5th Avenue,Brooklyn, NY  11209'",b'twenty3-supper-club?scpref=107',b'True'
b'Two E Bar and Lounge',b'Upper East Side',"b'2 East 61st Street,The Pierre Hotel,New York, NY  10065'",b'two-e-bar-and-lounge?scpref=107',b'True'
b'Two Steak & Sushi Den',b'New Hyde Park',"b'1270 Union Turnpike,New Hyde Park, NY  11040'",b'two-steak-and-sushi-den?scpref=107',b'False'
b'TY - Four Seasons New York',b'Midtown East',"b'57 East 57th St.,New York, NY  10022'",b'ty-four-seasons-new-york?scpref=107',b'True'
b'Tuscany Ristorante',b'Bridgeport',"b'1084 Madison Avenue,Bridgeport, CT  06606'",b'tuscany-ristorante?scpref=107',b'False'
b'The Tuscan Osteria and Mercato',b'New Canaan',"b'134 Main Street,New Canaan, CT  06840'",b'the-tuscan-osteria-and-mercato?scpref=107',b'False'
b'Turtle Club',b'Hoboken',"b'936 Park Avenue,Hoboken, NJ  07030'",b'turtle-club?scpref=107',b'False'
b'Tulsi',b'Midtown East',"b'211 East 46th St.,New York, NY  10017'",b'tulsi?scpref=107',b'True'
b'Turks and Frogs - Tribeca',b'TriBeCa - Downtown',"b'458  Greenwich St.,New York, NY  10013'",b'turks-and-frogs-tribeca?scpref=107',b'True'
b'Tulip Indian Restaurant',b'Upper East Side',"b'304 E 78th Street,New York, NY  10075'",b'tulip-indian-restaurant?scpref=107',b'True'
b'Tusk Restaurant',b'Princeton',"b'1736 Rt. 206 South,Montgomery, NJ  08558'",b'tusk-restaurant?scpref=107',b'False'
b'TSQ Brasserie',b'Theater District / Times Square',"b'723 7th Ave,New York, NY  10019'",b'tsq-brasserie?scpref=107',b'True'
b'Trumbull Kitchen',b'Hartford / West Hartford',"b'150 Trumbull St.,Hartford, CT  06103'",b'trumbull-kitchen?scpref=107',b'False'
b'Triumph Brewing Company - Princeton',b'Princeton',"b'138 Nassau Street,Princeton, NJ  08542'",b'triumph-brewing-company-princeton?scpref=107',b'False'
b'Trio of Martinsville',b'Somerville',"b'1938 Washington Valley Rd.,Martinsville, NJ  08836'",b'trio-of-martinsville?scpref=107',b'False'
b'Turf Terrace @ Saratoga Racetrack',b'Saratoga Springs',"b'267 Union Ave.,Saratoga Springs, NY  12866'",b'turf-terrace-at-saratoga-racetrack?scpref=107',b'False'
b'Trois Canards',b'Chelsea',"b'265 W. 20th Street,New York, NY  10011'",b'trois-canards?scpref=107',b'True'
b'Tropical Sensation',b'Upper West Side',"b'953 Amsterdam Avenue,New York, NY  10025'",b'tropical-sensation?scpref=107',b'True'
b'Tschudin Chocolate',"b'Middletown, CT'","b'100 Riverview Center,Suite 110,Middletown, CT  06457'",b'tschudin-chocolate?scpref=107',b'False'
b'Trinity Place',b'Financial District',"b'115 Broadway,New York, NY  10006'",b'trinity-place?scpref=107',b'True'
b'Trinity Restaurant',b'Keyport',"b'84 Broad St.,Keyport, NJ  07735'",b'trinity-restaurant?scpref=107',b'False'
b'Trinity & the Pope',b'Asbury Park',"b'649 Mattison Avenue,Asbury Park, NJ  07712'",b'trinity-and-the-pope?scpref=107',b'False'
b'Trinity - Hoboken',b'Hoboken',"b'306 Sinatra Drive,Hoboken, NJ  07030'",b'trinity-hoboken?scpref=107',b'False'
b'Triomphe',b'Midtown West',"b'49 West 44th Street,New York, NY  10036'",b'triomphe?scpref=107',b'True'
b'Tula Restaurant & Lounge',b'New Brunswick',"b'47 Easton Ave,New Brunswick, NJ  08901'",b'tula-restaurant-and-lounge?scpref=107',b'False'
b'Tribeca Tap House',b'TriBeCa - Downtown',"b'365 Greenwich Street,New York, NY  10013'",b'tribeca-tap-house?scpref=107',b'True'
b'Tribeca Grill',b'TriBeCa - Downtown',"b'375 Greenwich St,New York, NY  10013'",b'tribeca-grill?scpref=107',b'True'
b'Trevi Ristorante',b'West Harrison',"b'11 Taylor Square,West Harrison, NY  10604'",b'trevi-ristorante?scpref=107',b'False'
